window,horizon,MAE,RMSE,MASE,WQL
0,1,100.73255852272936,133.7320084899263,0.4639847815463535,0.11994858512174975
0,2,130.17494021118827,170.56787581491903,0.5788612637379845,0.2665082814890776
0,3,125.46991485945738,162.80353653427846,0.5591266909431426,0.4145188516006723
0,4,103.84937819675966,138.54287423759428,0.44813890713209575,0.5452576455835885
0,5,65.64431047367327,91.25751817805468,0.2892529756246053,0.3703248157226373
0,6,64.3374333634521,95.80751022752138,0.27899289878845496,0.17596352742886975
0,7,94.98114512869806,153.98432696658037,0.37878126966503783,0.09502744183878756
0,8,127.52484715093595,198.2079780945528,0.5748869562669513,0.07029738730454131
0,9,145.58005683245617,223.4023047567905,0.673320820931289,0.06853035302891958
0,10,128.223675105747,206.43290894765633,0.6033953902923583,0.06290457404250051
0,11,113.24930511914711,190.8242937875913,0.5270606721975629,0.05169111879468539
0,12,139.5216622988263,216.00450061697836,0.6671353904112012,0.05233369531933461
0,13,117.52014493786194,187.1955710628604,0.5771568004190378,0.04531202492829094
0,14,118.26097100960513,198.73462950337193,0.5312027882200003,0.04184785665642127
0,15,128.2909936385277,217.49268483229164,0.5831433599892046,0.042071204186075364
0,16,109.31042156351937,185.50711049119397,0.5324723317200387,0.04450685560073667
0,17,217.27910055548762,403.44587462268885,0.9012346918264009,0.09346376915621772
0,18,218.74621693545546,442.48454921527605,0.9935703981506464,0.09067853419623266
0,19,164.52887862428787,256.62228386656,0.7811966501544992,0.05381181625956988
0,20,142.72454058493256,216.6204775843001,0.6715151776369133,0.05200404379577335
0,21,110.01002325860281,169.65107087328403,0.540478658482946,0.045538742589498436
0,22,80.33701532189808,124.1803168540039,0.38906567703380607,0.04284411154834177
0,23,65.54595293055128,93.16581153254084,0.33796349076267096,0.04669702995006179
0,24,89.63260795483083,143.9865044709414,0.43616701764770227,0.07742821512995393
0,25,79.68611272290848,133.2320403494368,0.3891060965625303,0.10493759796893098
0,26,60.95404907385748,89.64697493230925,0.3060399436306637,0.1518047599264804
0,27,109.37881864575822,139.00786324761017,0.507832762637552,0.3811056715494404
0,28,89.03724050231096,114.66162253355986,0.40329627610951985,0.45155088785317005
0,29,76.0344836870349,98.10392366068461,0.3450217420318221,0.3820631247478764
0,30,68.30320424568362,93.1785224616541,0.30807873213821757,0.19023009015409886
0,31,136.84658591336714,205.16885196364916,0.5545487634362821,0.1446679437785434
0,32,302.6073590995687,424.9523396771042,1.2587998815501744,0.19946265773255967
0,33,292.5735339713169,411.56196840957745,1.2610303972945616,0.13426003915237247
0,34,199.3921226467147,289.6176772118781,0.9121848085316421,0.08225637468030103
0,35,137.69846196716483,205.27906941011165,0.6453581924851803,0.05353421046854089
0,36,95.83955215703358,161.58923760326925,0.4841410331095159,0.03872306128742336
0,37,110.43342785464554,174.72528578811733,0.5712547206561449,0.0403436539729396
0,38,106.33697395718298,174.2364054453818,0.5080800468546028,0.0370782530114013
0,39,114.17820882784382,178.95609932883184,0.5488289920361966,0.03901176817876331
0,40,173.17634905515575,297.7885972510494,0.7834940421944357,0.06305711402732134
0,41,210.3112223837639,299.14470573476024,0.9106245668655554,0.0713334581113248
0,42,144.2418136482889,217.31648731410695,0.691922048168165,0.051283839615806015
0,43,203.30955627092598,371.51555361906526,0.9459256305143932,0.07538391702582602
0,44,152.1742544111869,227.19200931046416,0.7370671113021159,0.053317784675017424
0,45,139.64619674424458,214.34873585248783,0.6161572051578403,0.05465197589757286
0,46,108.79465298255285,168.26966465870575,0.5045304438078109,0.05165120152718354
0,47,88.00822748443703,130.66014694029377,0.4237052742498583,0.05434151630762433
0,48,89.42361920835046,138.06412763222843,0.4215837850236242,0.07136052557813549
0,49,97.63884667825045,161.1862689083695,0.47105179157054083,0.11697405291424942
0,50,101.23056526205822,141.4991725989965,0.4726819441694588,0.18861205639731685
0,51,88.72143417831623,120.87038830619979,0.4093946750370924,0.28581231223573306
0,52,86.13237647685138,115.97458771906634,0.38368892543128763,0.3119023122054454
0,53,54.58381697661949,76.46608740841158,0.24285443146729463,0.23115227211238426
0,54,48.605551396459795,73.60678149281335,0.21595872381942746,0.17479429844014513
0,55,198.36631072094528,321.5112585027825,0.8179141023052277,0.31372442069258155
0,56,424.2082148674058,619.8414093198218,1.747581934757807,0.4802143650852935
0,57,524.1649513468598,723.7359328530047,2.172702629217361,0.5477190767256704
0,58,477.8046847483734,648.0115582781928,1.9876432375676718,0.3734893283622106
0,59,379.92074304094433,520.2053151930181,1.5914197341899048,0.23760311003104512
0,60,319.1056322545991,446.3755422607504,1.3333963197965972,0.15938155990331293
0,61,273.16164027208634,377.50755501843753,1.176289290756252,0.10650440802139359
0,62,259.6568714641372,361.52158573510707,1.1510756006720346,0.09004236311687434
0,63,356.5960383218041,512.2344799716858,1.4992476788927847,0.1449856539471264
0,64,398.2600382127971,534.1040095268097,1.7071484742066223,0.1971635220900764
0,65,439.0237214391355,595.0392948447288,1.938309308163628,0.2814520431286944
