sensor,segment,timestamp,actual,pred,p10,p90
6716,history,2026-02-23 15:00:00,798.0,,,
6716,history,2026-02-23 16:00:00,683.0,,,
6716,history,2026-02-23 17:00:00,828.0,,,
6716,history,2026-02-23 18:00:00,956.75,,,
6716,history,2026-02-23 19:00:00,901.0,,,
6716,history,2026-02-23 20:00:00,754.25,,,
6716,history,2026-02-23 21:00:00,393.0,,,
6716,history,2026-02-23 22:00:00,194.25,,,
6716,history,2026-02-23 23:00:00,90.0,,,
6716,history,2026-02-24 00:00:00,43.25,,,
6716,history,2026-02-24 01:00:00,17.75,,,
6716,history,2026-02-24 02:00:00,9.0,,,
6716,history,2026-02-24 03:00:00,5.0,,,
6716,history,2026-02-24 04:00:00,10.75,,,
6716,history,2026-02-24 05:00:00,27.0,,,
6716,history,2026-02-24 06:00:00,260.25,,,
6716,history,2026-02-24 07:00:00,901.3333333333334,,,
6716,history,2026-02-24 08:00:00,538.0,,,
6716,history,2026-02-24 09:00:00,666.25,,,
6716,history,2026-02-24 10:00:00,841.0,,,
6716,history,2026-02-24 11:00:00,529.25,,,
6716,history,2026-02-24 12:00:00,518.0,,,
6716,history,2026-02-24 13:00:00,562.0,,,
6716,history,2026-02-24 14:00:00,851.25,,,
6716,history,2026-02-24 15:00:00,813.25,,,
6716,history,2026-02-24 16:00:00,788.25,,,
6716,history,2026-02-24 17:00:00,1030.5,,,
6716,history,2026-02-24 18:00:00,952.25,,,
6716,history,2026-02-24 19:00:00,1078.25,,,
6716,history,2026-02-24 20:00:00,690.25,,,
6716,history,2026-02-24 21:00:00,516.5,,,
6716,history,2026-02-24 22:00:00,227.5,,,
6716,history,2026-02-24 23:00:00,136.25,,,
6716,forecast,2026-02-25 00:00:00,75.5,75.0,45.25,102.0
6716,forecast,2026-02-25 01:00:00,23.0,31.375,15.4375,48.5
6716,forecast,2026-02-25 02:00:00,19.5,26.125,8.1875,38.25
6716,forecast,2026-02-25 03:00:00,10.75,19.0,0.890625,27.875
6716,forecast,2026-02-25 04:00:00,13.5,22.625,8.1875,38.25
6716,forecast,2026-02-25 05:00:00,23.25,27.875,4.5625,57.0
6716,forecast,2026-02-25 06:00:00,263.75,266.0,179.0,348.0
6716,forecast,2026-02-25 07:00:00,1121.6666666666667,928.0,724.0,1112.0
6716,forecast,2026-02-25 08:00:00,551.25,568.0,364.0,772.0
6716,forecast,2026-02-25 09:00:00,515.25,700.0,536.0,848.0
6716,forecast,2026-02-25 10:00:00,635.0,664.0,544.0,772.0
6716,forecast,2026-02-25 11:00:00,532.75,500.0,416.0,588.0
6716,forecast,2026-02-25 12:00:00,619.0,500.0,430.0,572.0
6716,forecast,2026-02-25 13:00:00,626.25,592.0,512.0,660.0
6716,forecast,2026-02-25 14:00:00,919.25,852.0,764.0,944.0
6716,forecast,2026-02-25 15:00:00,832.5,808.0,716.0,888.0
6716,forecast,2026-02-25 16:00:00,807.0,748.0,640.0,828.0
6716,forecast,2026-02-25 17:00:00,920.75,872.0,768.0,976.0
6716,forecast,2026-02-25 18:00:00,992.25,896.0,784.0,1008.0
6716,forecast,2026-02-25 19:00:00,888.5,872.0,716.0,1000.0
6716,forecast,2026-02-25 20:00:00,865.5,736.0,584.0,848.0
6716,forecast,2026-02-25 21:00:00,453.0,450.0,372.0,536.0
6716,forecast,2026-02-25 22:00:00,194.25,220.0,183.0,270.0
6716,forecast,2026-02-25 23:00:00,265.0,144.0,119.0,178.0
6716,forecast,2026-02-26 00:00:00,170.75,77.0,63.75,99.0
6716,forecast,2026-02-26 01:00:00,36.75,43.5,33.25,60.5
6716,forecast,2026-02-26 02:00:00,17.5,33.25,22.625,45.25
6716,forecast,2026-02-26 03:00:00,19.75,22.625,11.8125,36.5
6716,forecast,2026-02-26 04:00:00,12.25,27.875,11.8125,40.0
6716,forecast,2026-02-26 05:00:00,35.75,33.25,11.8125,57.0
6716,forecast,2026-02-26 06:00:00,254.0,254.0,161.0,342.0
6716,forecast,2026-02-26 07:00:00,1070.3333333333333,920.0,684.0,1080.0
6716,forecast,2026-02-26 08:00:00,883.5,580.0,308.0,824.0
6716,forecast,2026-02-26 09:00:00,790.25,752.0,532.0,932.0
6716,forecast,2026-02-26 10:00:00,629.0,668.0,536.0,792.0
6716,forecast,2026-02-26 11:00:00,487.75,502.0,424.0,580.0
6716,forecast,2026-02-26 12:00:00,522.25,502.0,440.0,568.0
6716,forecast,2026-02-26 13:00:00,651.5,600.0,536.0,664.0
6716,forecast,2026-02-26 14:00:00,1001.75,848.0,760.0,928.0
6716,forecast,2026-02-26 15:00:00,927.0,808.0,708.0,884.0
6716,forecast,2026-02-26 16:00:00,759.75,756.0,640.0,836.0
6716,forecast,2026-02-26 17:00:00,901.5,884.0,756.0,984.0
6716,forecast,2026-02-26 18:00:00,725.5,888.0,716.0,1032.0
6716,forecast,2026-02-26 19:00:00,934.25,880.0,684.0,1016.0
6716,forecast,2026-02-26 20:00:00,768.75,744.0,572.0,884.0
6716,forecast,2026-02-26 21:00:00,484.75,440.0,348.0,528.0
6716,forecast,2026-02-26 22:00:00,287.5,236.0,189.0,284.0
6716,forecast,2026-02-26 23:00:00,202.75,164.0,132.0,191.0
6716,forecast,2026-02-27 00:00:00,159.0,102.0,72.0,132.0
6716,forecast,2026-02-27 01:00:00,45.0,48.5,33.25,65.5
6716,forecast,2026-02-27 02:00:00,31.0,31.375,11.8125,43.5
6716,forecast,2026-02-27 03:00:00,17.5,22.625,8.1875,33.25
6716,forecast,2026-02-27 04:00:00,17.25,29.625,11.8125,43.5
6716,forecast,2026-02-27 05:00:00,36.75,36.5,11.8125,62.0
6716,forecast,2026-02-27 06:00:00,241.0,228.0,143.0,320.0
6716,forecast,2026-02-27 07:00:00,927.25,856.0,648.0,1032.0
6716,forecast,2026-02-27 08:00:00,956.75,824.0,624.0,960.0
6716,forecast,2026-02-27 09:00:00,726.0,744.0,604.0,876.0
6716,forecast,2026-02-27 10:00:00,570.0,556.0,464.0,648.0
6716,forecast,2026-02-27 11:00:00,517.75,486.0,408.0,568.0
6716,forecast,2026-02-27 12:00:00,518.0,510.0,438.0,584.0
6716,forecast,2026-02-27 13:00:00,750.0,676.0,576.0,764.0
6716,forecast,2026-02-27 14:00:00,837.0,864.0,752.0,952.0
6716,forecast,2026-02-27 15:00:00,604.5,748.0,632.0,848.0
6716,forecast,2026-02-27 16:00:00,817.0,760.0,656.0,864.0
6716,forecast,2026-02-27 17:00:00,870.25,752.0,668.0,844.0
6716,forecast,2026-02-27 18:00:00,725.5,668.0,584.0,760.0
6716,forecast,2026-02-27 19:00:00,598.0,592.0,516.0,668.0
6716,forecast,2026-02-27 20:00:00,594.25,568.0,490.0,640.0
6716,forecast,2026-02-27 21:00:00,451.25,442.0,392.0,494.0
6716,forecast,2026-02-27 22:00:00,265.0,246.0,214.0,282.0
6716,forecast,2026-02-27 23:00:00,181.5,190.0,164.0,218.0
